title,original_title,budget,genre,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries
The Pink Cloud,A Nuvem Rosa,0,"Drama, Science Fiction",pt,Portuguese,,"Giovana and Yago are strangers who share a spark after meeting at a party. When a deadly cloud mysteriously takes over their city, they are forced to seek shelter with only each other for company. As months pass and the planet settles into an extended quarantine, their world shrinks, and they are forced to come to terms with an accelerated timeline for their relationship. With all their other interactions governed by screens, and with the strain of isolation setting in, Giovana and Yago struggle to reinvent themselves and reconcile the differences that threaten to tear them apart.",2.296,105,0,2021-04-01,6.0,30,Brazil
A Journal for Jordan,A Journal for Jordan,25000000,"Drama, Romance",en,English,https://www.sonypictures.com/movies/ajournalforjordan,"Based on the true story of First Sergeant Charles Monroe King, a soldier deployed to Iraq begins to keep a journal of love and advice for his infant son. Back at home, senior New York Times editor Dana Canedy revisits the story of her unlikely, life-altering relationship with King and his enduring devotion to her and their child.",11.104,131,6700000,2021-12-22,7.0,109,"Canada, United States of America"
West Side Story,West Side Story,100000000,"Drama, Romance, Crime",en,"English, Spanish",https://www.20thcenturystudios.com/movies/west-side-story,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",18.664,156,76016171,2021-12-08,7.01,1489,United States of America
Love Is in the Green Wind,恋は緑の風の中,0,Drama,ja,Japanese,,A youthful film depicting the sexual awakening of a boy who has just entered adolescence and his heartbreaking romance during the summer holidays with a young sprightly girl.,28.456,93,0,1974-11-23,10.0,1,Japan
Love Hard,Love Hard,0,"Comedy, Romance",en,English,https://www.netflix.com/title/81086631,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for Christmas, only to discover that she's been catfished. But the object of her affection actually lives in the same town, and the guy who duped her offers to set them up if she pretends to be his own girlfriend for the holidays.",14.335,105,0,2021-11-05,6.952,1427,United States of America
Bergman Island,Bergman Island,0,"Drama, Romance",en,"German, English, Swedish",https://www.ifcfilms.com/films/bergman-island,"An English-German filmmaking couple retreat to Fårö for the summer to each write screenplays for their upcoming films in an act of pilgrimage to the place that inspired Ingmar Bergman. As the summer and their screenplays advance, the lines between reality and fiction start to blur against the backdrop of the Island's wild landscape.",15.066,113,589895,2021-07-14,6.2,185,"Belgium, France, Germany, Mexico, Sweden"
Hard Luck Love Song,Hard Luck Love Song,0,"Romance, Music, Drama, Thriller",en,"English, Spanish",http://HardLuckLoveSong.com,"Jesse, a charismatic but down on his luck troubadour, finds himself at an existential crossroads as bad choices catch up with him during an unexpected reunion with Carla, an old flame.",5.632,104,0,2021-10-15,4.545,11,United States of America
South of Heaven,South of Heaven,0,"Crime, Drama, Thriller",en,English,,"Convicted felon Jimmy gets early parole after serving twelve years for armed robbery. Upon his release, he vows to give Annie, his childhood love, now dying from cancer, the best last year of her life – unfortunately it’s not that simple.",8.521,120,0,2021-10-08,6.5,71,"United Kingdom, United States of America"
Wife of a Spy,スパイの妻,0,"Drama, War, Thriller",ja,"English, Japanese",https://intl.nikkatsu.com/sales/358.html,"It’s 1940, and the population of Japan is divided over its entry into World War II. Satoko, the wife of a fabric merchant, is devoted to her husband but is beginning to suspect he’s up to something. Soon she allows herself to be drawn into a game in which she enigmatically conceals her intentions.",9.859,114,0,2020-10-16,6.623,80,Japan
Happier Than Ever: A Love Letter to Los Angeles,Happier Than Ever: A Love Letter to Los Angeles,0,"Music, Documentary",en,English,https://www.disneyplus.com/movies/happier-than-ever-a-love-letter-to-los-angeles/21VAuvZk4Ssk,"Fresh off the heels of her brand-new album, ""Happier Than Ever,"" this cinematic concert experience features an intimate performance of every song in the album's sequential order – for the first and only time – from the stage of the legendary Hollywood Bowl.",10.205,65,0,2021-09-03,7.875,116,United States of America
Together,Together,0,"Drama, Comedy",en,English,https://www.bbc.co.uk/programmes/m000x2lk,A husband and wife are forced to re-evaluate themselves and their relationship through the reality of the Covid-19 lockdown.,10.99,87,214390,2021-08-27,5.869,80,United Kingdom
